Property Address,Property Name,Number Of Units,Building Class,City,State,Zip,Avg Unit SF,Avg Asking/SF,Avg Asking/Unit,For Sale Price,Cap Rate,$Price/Unit,Sale Company Name,Sale Company Phone,Sale Company Contact,Vacancy %,Year Built,Year Renovated,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Owner Name,Owner Address,Owner City State Zip,Owner Contact,Owner Phone,Property Manager Name,Property Manager Phone,Recorded Owner Name,Recorded Owner Contact,Recorded Owner Phone,Recorded Owner Address,Recorded Owner City State Zip,One Bedroom Effective Rent/Unit,Studio Effective Rent/Unit,Two Bedroom Asking Rent/Unit,Three Bedroom Effective Rent/Unit
624 Frazee Ave,Frazee Avenue Apartments,60,C,Bowling Green,OH,43402,"1,000.00",0.63,893,,,,,,,0.0,1975,,,40,,20,GreenBriar Inc.,445 E Wooster St,"Bowling Green, OH 43402    ",Bob Maurer,4193520717,GreenBriar - Frazee Avenue Apartments,4193520717,C.C.F Investments LLC,,,10851 Mastin St,"Overland Park, KS 66210-1669",,,626,
10542 Fremont Pike,The Commons ProMedica Senior Living,113,C,Perrysburg,OH,43551,575.00,5.32,"3,061",,,,,,,50.2,1978,,40,32,,,Welltower Inc.,4500 Dorr St,"Toledo, OH 43615-4040",Ryan Rothacker,4192472800,The Commons,4198741931,HCR ManorCare Properties LLC,,,,,"3,117","2,126","4,124",
6325 Garden Rd,Whispering Timbers,104,C,Maumee,OH,43537,877.00,1.04,908,,,,,,,1.0,1971,,18,70,16,,Jeffery D McVey,8816 Carey Woods Ln,"West Chester, OH 45069",Jeff McVey,5138474412,Monarch - Whispering Timbers,4194914179,Triple Generations Inv Co Ii L,,,8816 Carey Woods Ln,"West Chester, OH 45069",717,,924,"1,046"
1021 Garden Trl,Lakewoods II /III,90,B,Toledo,OH,43614-2796,961.00,0.46,440,,,,,,,,2008,,,90,,,Independent Management Services,14381 North Rd,"Fenton, MI 48430    ",,8107507000,IMS - Lakewoods II,4193821200,Lakewoods Ii 2006 Llc,,,20250 Harper Ave,"Detroit, MI 48225",,,440,
2047 Garden Lake Dr,Garden Lake Apartments,64,B,Toledo,OH,43614,875.00,,,,,,,,,4.1,2008,,32,32,,,Garden Lake Apartments,2047 Garden Lake Dr,"Toledo, OH 43614",Tim Mullins,4194665788,Garden Lake Apartments,4194665788,Project Access Inc An Oh Not-for-profit,,,2047 Garden Lake Dr,"Toledo, OH 43614",,,,
1065 Garden Lake Pkwy,The Commons at Garden Lake,75,B,Toledo,OH,43614-2779,540.00,0.78,420,,,,,,,,2015,,75,,,,National Church Residences,2335 N Bank Dr,"Columbus, OH 43220-5423",Mark Ricketts,6144512151,National Church - The Commons at Garden Lake,6142142988,Commons At Garden Lake Housing,,,2335 N Bank Dr,"Columbus, OH 43220-5423",419,,,
3200 Glendale Ave,Glendale Terrace,100,C,Toledo,OH,43614,672.00,,,,,,,,,3.1,1967,,100,,,,Lucas Metro Hsg Auth,435 Nebraska Ave,"Toledo, OH 43604",,,Lucas Metropolitian Housing Authority,4192599400,Lucas Metro Hsg Auth,,,435 Nebraska Ave,"Toledo, OH 43604",,,,
813 Glenwood Rd,Camelot East Apartments,72,C,Rossford,OH,43460-1607,700.00,0.95,665,,,,,,,,1974,,36,36,,,Gerald L & Janice A Sliemers,1055 Walnut St,"Perrysburg, OH 43551-1661",Gerald Sliemers,4198743497,Camelot East Apartments,4196665320,Camelot East Apartments Llc,,,1055 Walnut St,"Perrysburg, OH 43551-1661",633,,695,
902 Gribbin Ln,Devonshire,86,C,Toledo,OH,43612,734.00,1.02,741,,,,,,,19.0,1968,,22,64,,,Five West Group,1072 Madison Ave Suite # D1,"Lakewood, NJ 08701-2650",Sol Rosenbaum,7329877778,FWG - Devonshire,4194787299,Devonshire Apartments Llc,,,1575 50th St,"Brooklyn, NY 11219",668,,775,
1022 N Grove St,Fairview Apartments,92,C,Bowling Green,OH,43402-1734,,,823,,,,,,,,1980,,49,33,10,,Owner's Management Company,25250 Rockside Rd,"Bedford Heights, OH 44146-1900",Fred Rzepka,4404393800,Owner's Management - Fairview Manor,4193537860,Transcon-Fairview Inc,,,25250 Rockside Rd,"Bedford Heights, OH 44146    ",794,,810,997
5350 Harroun Rd,,90,C,Sylvania,OH,43560,,,,,,,,,,,,,,,,,Crestview ,5330 Harroun Rd,"Sylvania, OH 43560-2167",,,,,Crestview ,,,5330 Harroun Rd,"Sylvania, OH 43560-2167",,,,
4835 Heatherdowns Blvd,Heather Hills Apartments,110,C,Toledo,OH,43614-2100,847.00,0.79,671,,,,,,,,1973,,54,56,,,Consolidated Properties,500 W Wilson Bridge Rd Suite # 145,"Worthington, OH 43085-2238",,6148883737,Junkins - Heather Hills Apartments,4193810606,Consolidated Heather Llc,,,2727 Tuller Pky,"Dublin, OH 43017-2314",625,,713,
4929 Heatherdowns Blvd,Amhurst Apartments,59,C,Toledo,OH,43614-2194,576.00,1.09,627,,,,,,,,1983,,20,19,,,IPT Inc.,2345 County 19 Rd,"Wauseon, OH 43567",Dave Lantz,4194455482,Insight - Amhurst Apartments,4193822774,Amhurst Apartment Homes Llc,,,100 Taylor Pky,"Archbold, OH 43502",640,484,796,
721 High St,High Point Village,60,C,Bowling Green,OH,43402-4275,880.00,0.82,720,,,,,,,,1971,,,60,,,Mecca Management,1045 N Main St Suite # 7B,"Bowling Green, OH 43402    ",,4193535800,Mecca Management - High Point Village,4193535800,G Rem Family Investors LLC,,4193535800,1045 N Main St,"Bowling Green, OH 43402-4904",,,720,
751 High St,Forest Apartments,60,C,Bowling Green,OH,43402,880.00,0.68,600,,,,,,,,1972,,,60,,,John Newlove Real Estate,319 E Wooster St Suite # Apt A,"Bowling Green, OH 43402    ",,4193542260,Mecca Management - Forest Apartments,4193535800,Rn Group Llc,,,1244 Alexandria Blvd,"Bowling Green, OH 43402-2674",,,600,
3716 Hill Ave,St. George's Manor,50,C,Toledo,OH,43607,750.00,1.18,882,,,,,,,,1982,,50,,,,Integra Property Group,520 Pike St Suite # 1004,"Seattle, WA 98101-1385",Hans Juhle,2065128900,Saint George Orthodox-St. George's Manor,4192464746,Toledo202 1 Lp,,,520 Pike St,"Seattle, WA 98101-4069",880,,,
4005 Hill Ave,Ottawa Landings,123,B,Toledo,OH,43607-2302,752.00,1.03,773,,,,,,,,1978,2017,43,79,1,,"DMG Rentals, Inc.",2050 Stapleton Ct,"Forest Park, OH 45240    ",Dan Greene,5138251141,DMG - Ottawa Landings,4192141788,,,,,,703,,807,"1,004"
4460 Hill Ave,Legacy Hill Apartments,78,C,Toledo,OH,43615-5446,920.00,0.56,518,,,,,,,4.1,1966,,25,53,,,R. Gant Properties LLC,111 Wamba Ave,"Toledo, OH 43607    ",Roosevelt Gant,4197059150,R. Gant Properties LLC,4197059150,R. Gant Properties LLC,,4197059150,111 Wamba Ave,"Toledo, OH 43607    ",463,,543,
3503 Hilltop Blvd,Hilltop Village Apartments,90,C,Toledo,OH,43607,"1,020.00",0.66,669,,,,,,,,1981,,,72,18,,Hilltop Village Llc,520 Pike St,"Seattle, WA 98101-4069",,,Spieker--Hilltop Village,4195378956,Hilltop Village Llc,,,520 Pike St,"Seattle, WA 98101-4069",,,618,872
1918 N Holland Sylvania Rd,Pine Meadows Apartments,52,C,Toledo,OH,43615,900.00,0.70,633,,,,,,,,1989,,,52,,,J & G,152 S Beach,"Marco Island, FL 34145",,4192448336,J&G - Pine Meadows Apartments,4195311886,"Pine Meadows Apartments Toledo, LLC",,,1080 Old Marco Ln,"Marco Island, FL 34145",,,633,
2519 N Holland Sylvania Rd,Luther Crest,71,C,Toledo,OH,43615,540.00,,,,,,,,,3.1,1980,,71,,,,Genacross Lutheran Services,2021 N Mccord Rd,"Toledo, OH 43615    ",,4198614990,Genacross - Luther Crest,4198415689,Lutheran Homes Services Incorporated,,,2411 Seaman St,"Toledo, OH 43605    ",,,,
2521 N Holland Sylvania Rd,Luther Woods Apartments,52,B,Toledo,OH,43615-2780,670.00,,,,,,,,,3.1,1993,,52,,,,Genacross Lutheran Services,2021 N Mccord Rd,"Toledo, OH 43615    ",,4198614990,Genacross - Luther Woods Apartments,4198411699,Lutheran Housing Services Inc,,4196931520,2411 Seaman St,"Toledo, OH 43605    ",,,,
4312 N Holland Sylvania Rd,The Wellington House Apartments,88,B,Toledo,OH,43623,977.00,1.07,"1,048",,,,,,,,1989,2009,18,70,,,Joseph E Goodell,4312 N Holland Sylvania Rd,"Toledo, OH 43623",Joseph Goodell,4198822090,Goodell - The Wellington House Apartments,4198822090,Joseph E Goodell,,4198822090,4312 N Holland Sylvania Rd,"Toledo, OH 43623",898,,"1,086",
4615 N Holland Sylvania Rd,Swissaire Village,76,C,Toledo,OH,43623,873.00,0.77,675,,,,,,,0.5,1968,,15,61,,,Kwapich Real Estate Companies,221 Allen St,"Maumee, OH 43537",Paul Kwapich,4197403224,Wassef - Swissaire Village,8664122316,4615 Holland Sylvania Llc,,,221 Allen St,"Maumee, OH 43537",572,,700,
715 S Holland Sylvania Rd,Westbrook Senior Village,112,C,Toledo,OH,43615,,,,,,,,,,0.3,2000,,,,,,Sun Communities Inc.,27777 Franklin Rd Suite # 200,"Southfield, MI 48034-2337",Anastasiya Stone,2482082500,Sun - Westbrook Senior Village,8882981094,Sun Westbrook Senior Village LLC,,,27777 Franklin Rd,"Southfield, MI 48034",,,,
4449 Jackman Rd,Jackman Grove,64,C,Toledo,OH,43612-1580,714.00,0.93,663,,,,,,,6.6,1968,,37,21,,,Link Real Estate Group,5000 Arlington Centre Blvd Suite # 2165,"Upper Arlington, OH 43220-5439",Chase Miller,6146867775,Link - Jackman Grove,4194761210,Jackman Road Apartments Ltd,,,5000 Arlington Centre Blvd,"Columbus, OH 43220-3075",641,585,713,
4760 Jerome Rd,The Encore at Fallen Timbers,112,A,Maumee,OH,43537,"1,200.00",1.33,"1,600",,,,,,,,2019,,,112,,,"McCarthy Builders, Inc.",3618 King Rd Suite # Unit 3,"Toledo, OH 43617    ",Brian McCarthy,4194761474,Noneman - The Encore at Fallen Timbers,4193593344,Enclave Villas Llc,,,3618 King Rd,"Toledo, OH 43617    ",,,"1,600",
2293 Kent St,Moody Manor,119,C,Toledo,OH,43620-1415,961.00,,,,,,,,,2.5,1973,,39,40,40,,U.S. Department of Housing and Urban Development,451 7th St SW,"Washington, DC 20410",,2027081112,,,Moody Manor Llc An Ohio Limited Liabilit,,,1931 Scottwood Ave,"Toledo, OH 43620    ",,,,
2544 Key St,Andover West,72,C,Toledo,OH,43614-4871,645.00,1.04,668,,,,,,,,1968,,72,,,,Cornerstone Managed Properties,2147 28th St,"Lorain, OH 44055",,4402021333,CMP - Andover West Apartments,4193807000,Andover Toledo Llc,,,2147 E 28th St,"Lorain, OH 44055-1932",666,,,
2560 Key St,King's Cove,136,B,Toledo,OH,43614,743.00,0.83,621,,,,,,,0.0,1969,,104,32,,,J & G,152 S Beach,"Marco Island, FL 34145",Louise Van Cleef,4192448336,J&G - King's Cove,4193811645,Kings Cove Developers LLC,,,1080 Old Marco,"Marco Island, FL 34145    ",581,,750,
2541 Keygate Dr,Keygate Manor Apartments,58,C,Toledo,OH,43614-4847,544.00,1.82,989,,,,,,,3.1,1969,,58,,,,Investors Lending Group,9100 White Bluff Rd Suite # 405,"Savannah, GA 31406    ",Baruch Rabhan,9123542629,Beacon 360 - Keygate Manor Apartments,4193828196,2541 Keygate Llc,,,10019 Reisterstown Rd,"Owings Mills, MD 21117-3902",985,,,
2629 Keygate Dr,Keygate Manor,58,C,Toledo,OH,43614,500.00,,,,,,,,,3.1,2006,,58,,,,Beacon 360° Management,3409 Broad St,"Columbus, OH 43213    ",,6144524184,Beacon 360 - Keygate Manor,4193828196,Keygate Manor Inc An Ohio Corp,,,383 Washington St,"Newark, OH 43055    ",,,,
4120 King Rd,Kings Pointe Senior Apartments,122,B,Sylvania,OH,43560-4441,829.00,1.53,"1,269",,,,,,,3.2,2019,,4,118,,,Michael Joseph Lerner,500 S Front St,"Columbus, OH 43215-7619",,6142853394,Kings Pointe Senior Apartments,5674086343,Clover Communities Sylvania Llc An Oh,,,348 Harris Hill Rd,"Williamsville, NY 14221","1,140",,"1,273",
480 Lehman Ave,Village Green Apartments,72,C,Bowling Green,OH,43402,705.00,0.81,572,,,,,,,0.0,1971,,43,29,,,Mmr Rentals Llc,7134 S Winners Cir,"Perrysburg, OH 43551-4596",Michelle Remeis,4193535800,Mecca Management - Village Green Apartments,4193535800,Mmr Rentals Llc,,4193522525,1045 N Main St Suite # 7B,"Bowling Green, OH 43402",487,,699,
5507-5535 Lewis Ave,Wynhaven,94,C,Toledo,OH,43612,744.00,0.84,624,,,,,,,,1969,,34,60,,,J & G,152 S Beach,"Marco Island, FL 34145",,4192448336,J&G - Wynhaven Apartments,4194768411,"Lewiston Apartments, LLC A",,,1080 Old Marco Ln,"Marco Island, FL 34145",553,,664,
5553 Lewis Ave,Maple Creek Apartments,144,C,Toledo,OH,43612,450.00,1.12,505,,,,,,,,1979,,144,,,,J & G,152 S Beach,"Marco Island, FL 34145",Louise Van Cleef,4192448336,J&G - Maple Creek Apartments,4194763495,Sunny Brook Apartments Llc,,,1080 Old Marco Ln,"Marco Island, FL 34145",504,,,
7120 Lighthouse Way,Harbor Town Landing,69,A,Perrysburg,OH,43551,755.00,1.10,828,,,,,,,,2015,,35,34,,,Miller-Valentine Group,409 E Monument Ave Suite # 200,"Dayton, OH 45402-1260",Elizabeth Mangan,9372930900,MVAH - Harbor Town Senior Residence,5673366008,H T Development Llc,,,3102 Steeple Chase Ln,"Perrysburg, OH 43551    ",753,,904,
23720 Lime City Rd,Perrysburg Estates,133,C,Perrysburg,OH,43551-9678,,,"1,074",,,,,,,3.5,1972,,,3,115,15,"UMH Properties, Inc.",3499 US Highway 9 Suite # 3C,"Freehold, NJ 07728-3258",Brett Taft,7325779997,UMH - Perryburg Estates,8887469028,OH Perrysburg Estates LLC,,,2265 Livernois Rd,"Troy, MI 48083-1633",,,993,"1,068"
1101 Linden Ln,Oasis at InverWest,81,B,Toledo,OH,43615,"1,031.00",0.99,"1,022",,,,,,,4.8,1997,,24,57,,,Joshua Sterling,12863 Eureka Rd,"Southgate, MI 48195",Joshua Sterling,5305777936,Epic - Oasis at InverWest,4195361991,Oasis Toledo Llc,,,12863 Eureka,"Southgate, MI 48195",831,,"1,100",
7451 Lunitas Ln,Brandon Manor Apartments,144,C,Perrysburg,OH,43551,625.00,1.25,782,,,,,,,6.1,1975,,96,48,,,Jed Investments LLC,30400 Wolf Rd,"Bay Village, OH 44140    ",,4402638323,CMP - Brandon Manor Apartments,4196619642,Celik Family Llc,,,1302 Brookview Dr,"Toledo, OH 43615",737,,861,
2472 Luther Hills Cir,Luther Hills,71,C,Oregon,OH,43616-2066,739.00,0.86,637,,,,,,,,2008,,35,36,,,Genacross Lutheran Services,2021 N Mccord Rd,"Toledo, OH 43615    ",,4198614990,Genacross - Luther Hills Apartments,4196979397,Lutheran Housing Services 18 Incorporate,,,2021 N Mccord Rd,"Toledo, OH 43615    ",619,,653,
505 N Main St,Walbridge Apartments,130,C,Walbridge,OH,43465,675.00,1.12,759,,,,,,,3.1,1985,,76,54,,,The Whitehurst Company,4907 Dorr St,"Toledo, OH 43615",,4195346022,CMP - Walbridge Apartments,4196661545,Walbridge I Apartments Llc,,,2147 E 28th St,"Lorain, OH 44055-1932",677,,870,
995 S Main St,Lamplight Court Apartments,64,C,Bowling Green,OH,43402,482.00,0.96,462,,,,,,,0.0,1974,,43,,,,William S Dasbach,995 S Main St,"Bowling Green, OH 43402    ",,4198617478,Lamplight Court Apartments,4198064749,Lamplight Court Apts Ltd,,,8103 N Bridge Way,"Maumee, OH 43537-9498",495,391,,
1017 S Main St,Charing Cross Apartments,69,C,Bowling Green,OH,43402,488.00,1.19,583,,,,,,,,1978,,42,3,,,"Harbor Group International, LLC",999 Waterside Dr Suite # 2300,"Norfolk, VA 23510    ",Jordan Slone,7576400800,Harbor Group - Charing Cross,4198064662,,,,,,599,496,"1,033",
9510 Mandell Rd,Titleist Club Apartments,84,C,Perrysburg,OH,43551,970.00,0.82,800,,,,,,,4.8,1982,,,84,,,Five West Group,1072 Madison Ave Suite # D1,"Lakewood, NJ 08701-2650",,7329877778,Five West Group - Titleist Club Apartments,,,,,,,,,800,
3501 E Manhattan Blvd,Suder Point,115,C,Toledo,OH,43611,818.00,0.59,483,,,,,,,,1971,,67,48,,,Stephanie Holcomb,3501 E Manhattan Blvd,"Toledo, OH 43611    ",,,Suder Point,4199086534,Stephanie Holcomb,,,3501 E Manhattan Blvd,"Toledo, OH 43611    ",436,,547,
3551-3565 E Manhattan Blvd,Manhattan Manor Apartments,115,B,Toledo,OH,43611-3047,692.00,0.86,596,,,,,,,14.8,1968,,67,48,,,"Beal Properties, LLC",23 N Washington Ave,"Ypsilanti, MI 48197",Stewart Beal,7346626133,Sunbelt - Manhattan Manor,5673188108,Manhattan Manor 18 Llc,,,301 W Michigan Ave,"Ypsilanti, MI 48197    ",550,,652,
6071 Manley Rd,Teamsters Residences,52,C,Maumee,OH,43537,400.00,,,,,,,,,,1983,,52,,,,Elderly Housing Development & Operations Corp.,1580 Sawgrass Corporate Pky Suite # 100,"Sunrise, FL 33323-2859",,9548359200,EHDOC-Teamsters,4198651640,Ehdoc Teamsters Residences Inc,,,1580 Sawgrass Corporate Pky,"Sunrise, FL 33323-2859",,,,
6632 Maplewood Ave,Treciti Village Apartments,51,C,Sylvania,OH,43560,791.00,0.92,729,,,,,,,,1968,,5,40,6,,Retail Space For Lease,1545 Holland Rd Suite # K,"Maumee, OH 43537    ",Matt Dewood,4199759001,Riverstone - Sylvania Gardens,4193452944,6632 Maplewood Llc,,,6632 Maplewood Ave,"Sylvania, OH 43560    ",607,,737,898
1100 Maplewood Hts,,58,C,Delta,OH,43515,,,,,,,,,,2.3,,,58,,,,Delta Properties Of Nw Ohio Lp,,,,,,,Delta Properties Of Nw Ohio Lp,,,,,,,,
3140 Matson St,The Matson,75,C,Toledo,OH,43606,558.00,1.05,586,,,,,,,1.4,1965,,75,,,,Watermark Partners Real Estate,201 S 1st St Suite # 604,"Ann Arbor, MI 48104-1302",John Nechiporchik,7346426986,Beal - The Matson,4192590619,Perth Place Ii Llc,,,301 W Michigan Ave,"Ypsilanti, MI 48197    ",608,,,
2015 N Mccord Rd,Fox Creek,79,C,Toledo,OH,43615,554.00,1.41,783,,,,,,,0.0,1982,,57,8,,,The Tobin Group,31150 W 10 Mile Rd,"Farmington, MI 48331",,2484749500,Group Five - Fox Creek,4198432140,,,,,,801,605,952,
750 S McCord Rd,Meadow Creek,64,C,Holland,OH,43528-9436,548.00,1.00,547,,,,,,,,1971,,62,,,,Ryan Pyle,P.O.Box 8469,"Toledo, OH 43623",Ryan Pyle,4193408841,Meadow Creek,4193408841,Toledo Homes For Rent LLC,,4193408841,750 S McCord Rd,"Holland, OH 43528",549,457,,
1635 S Mccord Rd,Hidden Valley Apartments,72,C,Holland,OH,43528-9583,650.00,0.77,500,,,,Key Realty,4193247000,Jerry Poindexter,0.0,1969,,72,,,,Mehta Vidya S & Santosh,3950 Airport Hwy Suite # 109,"Toledo, OH 43615-7156",,4193896000,Hidden Valley Apartments,4198683333,Mehta Vidya S & Santosh,,,1635 S Mccord Rd,"Holland, OH 43528-9583",499,,,
135 Mel Simon Dr,North Towne Villas,145,C,Toledo,OH,43612-4737,818.00,0.91,748,,,,,,,9.7,1988,,64,80,1,,Elon Property Management,590 W Kennedy Blvd Suite # 1D,"Lakewood, NJ 08701    ",Nathan Weldler,7322001200,Elon - North Towne Villas,4194761221,North Towne Toledo Llc,,,18977 W 10 Mile Rd,"Southfield, MI 48075-2616",722,,759,"1,137"
331 Mercer Rd,Mercer Manor,68,C,Bowling Green,OH,43402,810.00,0.72,584,,,,,,,0.0,1997,,59,,9,,GreenBriar Inc.,445 E Wooster St,"Bowling Green, OH 43402    ",Bob Maurer,4193520717,GreenBriar Inc.,4193520717,Mercer Manor Apartments LLC,,,445 E Wooster St,"Bowling Green, OH 43402    ",540,,,863
203 S Mercer Rd,University Village & Court Apartments,142,C,Bowling Green,OH,43402-3351,934.00,0.84,780,,,,,,,,1980,,13,128,,,Midland States Bank,14125 Clayton Rd,"Town And Country, MO 63017-8355",,6362562300,University Village & Court Apartments,4193541501,Amherst Village Ltd,,,14125 Clayton Rd,"Chesterfield, MO 63017    ",698,658,789,
2330 Monroe St,Museum Place Residences,63,C,Toledo,OH,43604-5056,"1,019.00",0.91,925,,,,,,,,1897,,20,20,13,10,Toledo Museum Of Art,1920 Parkwood Ave,"Toledo, OH 43624-1024",,4192558000,Museum Place Residences,4192592955,Lucas Cnty Land Reutilization,,,,,697,,864,"1,060"
5346 Monroe St,Chateau Monroe,147,C,Toledo,OH,43623,763.00,0.99,756,,,,,,,2.0,1975,,84,63,,,Houck Properties,5360 Monroe St Suite # A,"Toledo, OH 43623    ",Bob Houck,4198828482,Goodell - Chateau Monroe,4198826527,Louisville Title Agcy Of Nw Ohio,,,626 Madison Ave,"Toledo, OH 43604-1123",696,,832,
300 Napoleon Rd,Bowling Green Village,104,C,Bowling Green,OH,43402,807.00,0.86,690,,,,,,,1.1,1971,,20,84,,,Foundation Housing,11810 Grand Park Ave,"North Bethesda, MD 20852",,3019980400,Spring Meadows Realty - Bowling Green Village,4193526335,American Foundation For Afford,,,2122 Peterman Rd,"Freeland, MD 21053",622,,706,
3119 Navarre Ave,Fountain Square Apartments,112,C,Oregon,OH,43616,607.00,1.29,782,,,,,,,,1980,,112,,,,Evergreen Real Estate Group,566 W Lake St Suite # 400,"Chicago, IL 60661",Kevin Beard,7736988230,Kennedy Brothers - Fountain Square Apartments,4196989773,Fountain Square Owner Llc,,,566 W Lake St,"Chicago, IL 60661-1410",780,,,
3525 Navarre Ave,Amberwood Apartments,54,C,Oregon,OH,43616,613.00,0.95,585,,,,,,,,1978,,47,7,,,Aspen Property Management,1566 County Road 1095,"Ashland, OH 44805",Thomas Wurster,4192813367,Aspen - Amberwood Apartments,4196936202,Amberwood Oregon Llc,,,1566 County Road 1095,"Ashland, OH 44805",569,,679,
4744 Navarre Ave,Redwood Oregon,144,B,Oregon,OH,43616,"1,230.00",1.37,"1,691",,,,,,,2.8,2009,,,144,,,Redwood Living,7510 E Pleasant Valley Rd,"Independence, OH 44131-5536",David Conwill,2163609441,Redwood - Redwood Oregon,4193045832,Oregon One Llc An Ohio Llc,,,,,,,"1,691",
2410 Nebraska Ave,Liberty Mobile Home Park,66,C,Toledo,OH,43607,,,262,,,,,,,,1948,,66,,,,Mavdon Investments,,,Dylan Stewart,,,,Freedom Mhp Llc,,,,,262,,,
3019 Nebraska Ave,Bel-Aire Mobile Home Park,124,B,Toledo,OH,43607,720.00,,,,,,,,,2.5,1955,2007,124,,,,"Flask, Kusak & Company",5921-5927 Broadview Rd,"Parma, OH 44134-3164",,2166420797,,,3051 Nebraska Llc,,,5923 Broadview Rd,"Cleveland, OH 44134-3164",,,,
3395 Nebraska Ave,Flory Gardens,120,C,Toledo,OH,43607,419.00,,,,,,,,,2.5,1971,,,,,,Lucas Metropolitian Housing Authority,435 Nebraska Ave,"Toledo, OH 43697",,4192599400,Lucas Metropolitian Housing Authority,4192599400,Lucas Metropolitian Housing Authority,,4192599400,435 Nebraska Ave,"Toledo, OH 43697",,,,
5351 Nebraska Ave,Valley Bridge Apartments,70,B,Toledo,OH,43615,706.00,1.17,828,,,,,,,2.1,2018,,60,10,,,National Church Residences,2335 N Bank Dr,"Columbus, OH 43220-5423",Mark Ricketts,6144512151,National Church - Valley Bridge Apartm,8444418930,VALLEY BRIDGE SENIOR HOUSING LIMITED PARTNERSHIP,,,,,803,,960,
5120 Norwich Rd,Norwich Apartments,77,C,Toledo,OH,43615,844.00,1.09,924,,,,,,,0.2,1977,,,48,24,5,"Beard, Kevin",3041 S Union Ave,"Chicago, IL 60616",Kevin Beard,7346806258,Kennedy Brothers - Norwich Apartments,4193818846,Norwich Owner Llc,,,566 W Lake St,"Chicago, IL 60661-1410",,,846,"1,035"
2458 Old Stone Ct,Alt Stone Bridge Apartments,132,B,Toledo,OH,43614,934.00,0.96,894,,,,,,,,1976,,20,112,,,John W Martin,626 Madison Ave,"Toledo, OH 43604-1123",,4192466710,Alt Stone Bridge,4193827900,Louisville Title Agcy Of Nw Ohio,,,626 Madison Ave,"Toledo, OH 43604-1123",675,,933,
28863 Oregon Rd,Redwood Perrysburg Oregon Road,114,B,Perrysburg,OH,43551,"1,161.00",1.36,"1,580",,,,,,,5.3,2006,,,114,,,Redwood Living,7510 E Pleasant Valley Rd,"Independence, OH 44131-5536",David Conwill,2163609441,Redwood - Redwood Perrysburg Oregon Road,4196628640,Reitzel Realty Ltd,,,9454 Roberts Ave,"Perrysburg, OH 43551",,,"1,580",
29881-29845 Oregon Rd,Evergreen Apartments,67,C,Perrysburg,OH,43551-4572,787.00,0.70,548,,,,,,,3.5,1981,,22,23,,,Capri Investment Group,2450 Heathergate Blvd,"Toledo, OH 43614",Bill Cosgrove,4193890555,Capri - Evergreen Apartments,4193890555,Evergreen Apartments Llc,,4193890555,29751 Somerset Rd,"Perrysburg, OH 43551    ",504,447,681,
1841 Ottawa Cove Dr,Ottawa Cove Apartments,100,C,Toledo,OH,43611,936.00,1.08,"1,006",,,,,,,,1978,,,64,36,,Ottawa Cove Owner Llc,566 W Lake St,"Chicago, IL 60661-1410",,,Kennedy Brothers - Ottawa Cove,4197294015,Ottawa Cove Owner Llc,,,566 W Lake St,"Chicago, IL 60661-1410",,,953,"1,099"
6657 Owens Lake Dr,Owens Lake Commons,84,B,Walbridge,OH,43465,"1,503.00",1.19,"1,784",,,,,,,,2007,,,12,9,39,The Choice Group,2265 Livernois Rd Suite # 500,"Troy, MI 48083-1633",Kamal Shouhayib,2483624150,Choice - Owens Lake Commons,4196621000,Owens Lake Affiliate Llc,,,2265 Livernois Rd,"Troy, MI 48083",,,"1,295","1,528"
102 Paigelynn St,Paigelynn Place,60,C,Swanton,OH,43558-1455,"1,310.00",0.56,729,,,,,,,3.3,2005,,,2,29,29,Woda Management & Real Estate,229 Huber Village Blvd Suite # 100,"Westerville, OH 43081    ",,6143963200,Woda - Paigelynn Place,4198258037,Paigelynn Place Llc,,,2000 W Henderson Rd,"Columbus, OH 43220-2453",,,584,692
2125 Parkwood Ave,Parqwood Apartments,134,C,Toledo,OH,43620,670.00,0.87,584,,,,,,,2.0,1922,,50,50,,,Lucas Metropolitan Housing Authority,211 S Byrne Rd,"Toledo, OH 43615    ",,4192599448,Nelson - Parqwood Apartments,4192146943,Lucas Metropolitan Housing Authority,,,,,569,440,704,
2700 Pelham Rd,Pelham Manor Senior Apartments,101,C,Toledo,OH,43606,596.00,1.79,"1,068",,,,,,,,1980,,96,5,,,Evergreen Real Estate Group,566 W Lake St Suite # 400,"Chicago, IL 60661",Stephen Rappin,7736988230,Evergreen - Pelham Manor,4195371515,Apartments at Pelham Llc,,8454064449,26 Fairway Oval,"Spring Valley, NY 10977-1723","1,054",,"1,278",
3233 Percentum Rd,Addison Place,66,B,Toledo,OH,43617-1128,"1,600.00",1.04,"1,667",,,,,,,,2019,,,66,,,"McCarthy Builders, Inc.",3618 King Rd Suite # Unit 3,"Toledo, OH 43617    ",,4194761474,Noneman - Addison Place,4195404900,Addison Place Llc,,,3618 King Rd,"Sylvania Township, OH 43617-1404",,,"1,667",
