Property Address,Property Name,Number Of Units,Building Class,City,State,Zip,Avg Unit SF,Avg Asking/SF,Avg Asking/Unit,For Sale Price,Cap Rate,$Price/Unit,Sale Company Name,Sale Company Phone,Sale Company Contact,Vacancy %,Year Built,Year Renovated,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Owner Name,Owner Address,Owner City State Zip,Owner Contact,Owner Phone,Property Manager Name,Property Manager Phone,Recorded Owner Name,Recorded Owner Contact,Recorded Owner Phone,Recorded Owner Address,Recorded Owner City State Zip,One Bedroom Effective Rent/Unit,Studio Effective Rent/Unit,Two Bedroom Asking Rent/Unit,Three Bedroom Effective Rent/Unit
1919 Elm St,,7,C,Cincinnati,OH,45202,,,838,,,,,,,4.3,,,,7,,,Bonansinga Mary E,144 Lafayette Ln,"Cincinnati, OH 45220-1118",Mary Bonansinga,5136046854,,,Bonansinga Mary E,,5136046854,144 Lafayette Ln,"Cincinnati, OH 45220-1118",,,857,
1923 Elm St,205 Henry St,20,C,Cincinnati,OH,45202-7784,,,,,,,,,,4.3,1850,,20,,,,Branch,16-20 E Broad St,"Columbus, OH 43215-3403",Steve Lekas,8334272624,,,Kaladin LLC,,,,,,,,
1237 Elsinore Ave,,6,C,Cincinnati,OH,45202,,,,,,,,,,4.3,,,,,,,1237-1245 Elsinore Llc,74 Cliffside Dr,"Canandaigua, NY 14424-8805",,,,,1237-1245 Elsinore Llc,,,74 Cliffside Dr,"Canandaigua, NY 14424-8805",,,,
1263 Elsinore Pl,,8,C,Cincinnati,OH,45202,,,,,,,,,,4.3,,,,,,,Michael J Larkin,802 Huntersknoll Ln,"Cincinnati, OH 45230-4342",,,,,Michael J Larkin,,,802 Huntersknoll Ln,"Cincinnati, OH 45230-4342",,,,
12 E Fifteenth St,,6,C,Cincinnati,OH,45202-7004,,,,,,,,,,4.3,,,,,,,Mardin Osam,5218 Peterborough Dr,"Cleves, OH 45002",Osam Mardin,5135444925,,,Mardin Osam,,5135444925,5218 Peterborough Dr,"Cleves, OH 45002",,,,
18 E Fifteenth St,,8,C,Cincinnati,OH,45202-7004,,,,,,,,,,4.3,,,,,,,Martine R. Dunn,6519 Neville Ct,"Mason, OH 45040",Martine Dunn,5134593098,,,Otr Reinvestment Hldgs Iillc,,,2170 Gilbert Ave,"Cincinnati, OH 45206-3042",,,,
19 E Fifteenth St,,7,C,Cincinnati,OH,45202-7003,,,,,,,,,,4.3,,,,,,,Urban Sites Properties,1209 Sycamore St,"Cincinnati, OH 45202-7320",Greg Olson,5136216246,,,17e-fifteen Llc,,,580 Walnut St,"Cincinnati, OH 45202-3162",,,,
20 E Fifteenth St,,6,F,Cincinnati,OH,45202-7004,,,,,,,,,,4.3,,,,,,,Martine R. Dunn,6519 Neville Ct,"Mason, OH 45040",Martine Dunn,5134593098,,,,,,,,,,,
20-22 Findlay St,,6,C,Cincinnati,OH,45202-7726,,,,,,,,,,4.3,1990,,,,,,Ronald Louis Wales,22 Findlay St,"Cincinnati, OH 45202-5930",Ronald Wales,5136148840,,,"20 Findlay, LLC",,,,,,,,
118 Findlay St,118-120 Findlay Street,7,C,Cincinnati,OH,45202-7702,,,,,,,,,,4.3,1875,,,,,,2414 Morgan Development LLC,3905 Perry St NW,"Brentwood, MD 20722",Nigel Parkinson,2026364005,,,,,,,,,,,
128 Findlay St,Carl Apartments,16,C,Cincinnati,OH,45202-7786,,,,,,,,,,3.3,,,,,,,Joseph H Feldhaus,3643 Davenant Ave,"Cincinnati, OH 45201",Joseph Feldhaus,5133152262,,,North Rhine Limited Partnershi,,,36 E 4th St,"Cincinnati, OH 45202-2757",,,,
210-212 Findlay St,,6,C,Cincinnati,OH,45202-7712,,,,,,,,,,4.3,1879,,,,,,Nathaniel J Dean,214 Findlay St,"Cincinnati, OH 45202",Nathaniel Dean,5136627791,,,Norman & Nathan  Dean,,,214 Findlay St,"Cincinnati, OH 45202",,,,
231 W Fourth St,Fourth & Plum Apartments,194,C,Cincinnati,OH,45202-2679,947.00,1.40,"1,323",,,,,,,10.2,1923,1981,143,41,,,"Uptown Rental Properties, LLC",2718 Vine St,"Cincinnati, OH 45219-2019",,5138619394,Uptown - Fourth & Plum Lofts,5132417272,"Old Town 4th and Plum, LLC",,,,,"1,346",884,"1,304",
120 Garfield Pl,The Greenwich on the Park,66,C,Cincinnati,OH,45202,653.00,1.74,"1,134",,,,,,,10.6,,,30,7,,,Towne Properties,1055 Saint Paul Pl Suite # 100,"Cincinnati, OH 45202-6042",,5133818696,Towne - The Greenwich on the Park,5136511661,Greenwich On Garfield Llc,,,110 Garfield Pl,"Cincinnati, OH 45202-1916","1,031","1,096","1,644",
19 Green St,,6,C,Cincinnati,OH,45202-6489,,,,,,,,,,4.3,,,,,,,St Anthony Village Llc,910 E Broad St,"Columbus, OH 43205-1150",,6142698032,,,St Anthony Village Llc,,6142698032,910 E Broad St,"Columbus, OH 43205-1150",,,,
23 Green St,,10,C,Cincinnati,OH,45202-4650,,,,,,,,,,4.3,,,,,,,Race Republic & Green Llc,23 Green St,"Cincinnati, OH 45202",,5132422209,,,Race Republic & Green Llc,,5132422209,23 Green St,"Cincinnati, OH 45202",,,,
108 Green St,,8,C,Cincinnati,OH,45202-4633,,,,,,,,,,4.3,,,,,,,"Downtown Property Management, Inc.",1416-1418 Central Pky,"Cincinnati, OH 45202-7533",Dharma Ramineni,5136654376,"Downtown Property Management, Inc.",5136654376,"Downtown Property Management, Inc.",,5136654376,1416-1418 Central Pky,"Cincinnati, OH 45202-7533",,,,
979-981 Hatch St,,10,C,Cincinnati,OH,45202,,,,,,,,,,4.3,1916,,,,,,Moore David R,981 Hatch St,"Cincinnati, OH 45202",,,,,Moore David R,,,981 Hatch St,"Cincinnati, OH 45202",,,,
988-990 Hatch St,,6,B,Cincinnati,OH,45202,900.00,0.86,770,,,,,,,4.3,1890,,3,3,,,True Blue Properties Llc,441 Oak Dr,"Cincinnati, OH 45246-4725",,,,,True Blue Properties Llc,,,441 Oak Dr,"Cincinnati, OH 45246-4725",766,,770,
1631-1637 Hughes St,,6,C,Cincinnati,OH,45202,,,680,,,,,,,4.3,1900,,,3,3,,Jamal Daoud,1 Observatory Hl,"Cincinnati, OH 45208-2541",Jamal Daoud,5138077000,,,Jamal Daoud,,5138077000,1 Observatory Hl,"Cincinnati, OH 45208-2541",,,510,844
1701 Hughes St,,45,C,Cincinnati,OH,45202-0959,951.00,,,,,,,,,3.3,1874,,,10,29,2,OTR Revitalization Limited Partnership,2170 Gilbert Ave,"Cincinnati, OH 45206-3042",,5135590048,Brickstone Properties,5134216999,,,,,,,,,
1225 Jackson St,,7,F,Cincinnati,OH,45202,,,,,,,,,,4.3,,,7,,,,Richard Herndon,3500 Red Bank Rd,"Cincinnati, OH 45227    ",,5134211313,,,Jackson Investors 2019 Llc,,,1209 Sycamore St,"Cincinnati, OH 45202-7320",,,,
1920 Kemper Ln,,9,C,Cincinnati,OH,45202-1539,400.00,1.11,445,,,,,,,3.7,1955,,9,,,,Kemper R & E Holdings Llc,4016 Townsfair Way,"Columbus, OH 43219-6083",,,,,Kemper R & E Holdings Llc,,,4016 Townsfair Way,"Columbus, OH 43219-6083",442,,,
1805 Lang St,,6,C,Cincinnati,OH,45202-8910,,,,,,,,,,4.3,1915,,,,,,Andrea R Pressley,6220 Erie Ave,"Cincinnati, OH 45227",Andrea Pressley,5136151307,,,Pure Dev Group Llc,,,6220 Erie Ave,"Cincinnati, OH 45227",,,,
529 Liberty Hl,,10,C,Cincinnati,OH,45202,,,,,,,,,,4.3,,,,,,,529 Liberty Hill Llc,300 View Pl,"Covington, KY 41011",,,,,529 Liberty Hill Llc,,,300 View Pl,"Covington, KY 41011",,,,
212-214 E Liberty St,,39,C,Cincinnati,OH,45202-8542,,,,,,,,,,4.3,,,,,,,Alfred Carrington Inc,444 Milton St,"Cincinnati, OH 45202",Frank Fieler,5132316099,,,Alfred Carrington Inc,,5132316099,444 Milton St,"Cincinnati, OH 45202",,,,
212 W Liberty St,,8,C,Cincinnati,OH,45202-6913,,,,,,,,,,4.3,,,,,,,The Fortus Group,12207 Illinois Rd,"Fort Wayne, IN 46804",Rodney Baker,2606254211,,,Fg Otr 1 Llc,,,11501 Deerfield Rd,"Cincinnati, OH 45242    ",,,,
214 W Liberty St,,8,C,Cincinnati,OH,45202-9622,,,,,,,,,,4.3,,,,,,,The Fortus Group,12207 Illinois Rd,"Fort Wayne, IN 46804",Rodney Baker,2606254211,,,Fg Otr 1 Llc,,,11501 Deerfield Rd,"Cincinnati, OH 45242    ",,,,
1817 Logan St,Logan Towers,98,C,Cincinnati,OH,45202-7715,675.00,1.00,678,,,,,,,,1915,,49,,,,Logan Towers Lp,2170 Gilbert Ave,"Cincinnati, OH 45206-3042",,5137211988,VOA - Parkway Towers,5133811954,Logan Towers Lp,,5137211988,2170 Gilbert Ave,"Cincinnati, OH 45206-3042",747,606,,
1818 Logan St,,6,C,Cincinnati,OH,45202,,,,,,,,,,4.3,,,3,3,,,James Hagen,3637 Amberson Ave,"Cincinnati, OH 45208",,5132951515,,,Maslott Properties LLC,,,737 Whisperingq Way,"Cincinnati, OH 45241",,,,
208 Magnolia St,,6,C,Cincinnati,OH,45202,,,,,,,,,,3.3,1900,,,,,,Bob Maly,,,Bobby Maly,5135590048,Brickstone Properties,5134216999,,,,,,,,,
721 Main St,Blonde,125,B,Cincinnati,OH,45202-2109,759.00,2.06,"1,566",,,,,,,0.6,2020,,54,20,,,North American Properties,212 E Third St Suite # 300,"Cincinnati, OH 45202-5500",Tom Williams,5137212744,NAP - 8th & Main,5137212744,Port Of Greater Cincinnati Development A,,,3 4th St,"Cincinnati, OH 45202","1,609","1,109","2,593",
1200 Main St,,6,C,Cincinnati,OH,45202,,,818,,,,,,,3.3,1860,2016,,2,2,,Urban Sites Properties,1209 Sycamore St,"Cincinnati, OH 45202-7320",,5136216246,,,Soli Interests LLC,,,1429 Walnut St,"Cincinnati, OH 45202-7618",,535,741,892
1202-1204 Main St,,16,C,Cincinnati,OH,45202,,,,,,,,,,3.3,1875,,,,,,Urban Sites Properties,1209 Sycamore St,"Cincinnati, OH 45202-7320",,5136216246,Urban Sites Properties,5136216246,Urban Legacy Viii Llc,,,1202 Main St,"Cincinnati, OH 45202    ",,,,
1208-1212 Main St,,8,C,Cincinnati,OH,45202-6311,,,745,,,,,,,4.3,1865,2016,2,2,4,,Urban Sites Properties,1209 Sycamore St,"Cincinnati, OH 45202-7320",,5136216246,,,Soli Interests Llc,,,1429 Walnut St,"Cincinnati, OH 45202-7618",622,,741,803
1306 Main St,,6,C,Cincinnati,OH,45202-7860,,,,,,,,,,4.3,1820,,,,,,American Heritage Insurance Group,9675 Montgomery Rd Suite # 101,"Cincinnati, OH 45242-7205",Michael Rice,5139845255,,,Mike L Rice,,,1306 Main St,"Cincinnati, OH 45202-7614",,,,
1312-1316 Main St,Commons on Main,10,C,Cincinnati,OH,45202-6312,525.00,,,,,,,,,4.3,,,,,,,Commons On Main Commercial Llc,1316 Main St,"Cincinnati, OH 45202",,5132062556,Mercy Housing - Commons on Main,5136516457,Commons On Main Commercial Llc,,5132062556,1316 Main St,"Cincinnati, OH 45202",,,,
1349 Main St,,37,C,Cincinnati,OH,45202-7613,622.00,1.36,842,,,,,,,4.1,1960,,35,2,,,WMC Group LLC,411 Oak St Suite # 3rd fl,"Cincinnati, OH 45219    ",,5135698376,Symphony Property Management,5135698376,Eber Development Llc,,,411 Oak St,"Cincinnati, OH 45219-2504",813,,"1,271",
1401 Main St,,12,C,Cincinnati,OH,45202-7615,,,,,,,,,,4.3,,,,,,,Robert P Lieb,150 Kingfisher Rd,"Peebles, OH 45660-8014",,9375873260,,,Robert P Lieb,,9375873260,150 Kingfisher Rd,"Peebles, OH 45660-8014",,,,
1409 Main St,,7,C,Cincinnati,OH,45202-7800,757.00,,,,,,,,,,,,2,2,,,"Mercy Housing, Inc.",1600 Broadway Suite # 2000,"Denver, CO 80202-4927",Kate Peterson,3038303300,Mercy Housing - Commons on Main,5136516457,Franciscan Homes Iii,,,1999 Broadway,"Denver, CO 80202    ",,,,
1427 Main St,,7,C,Cincinnati,OH,45202,,,,,,,,,,4.3,,,,,,,Robert P Lieb,150 Kingfisher Rd,"Peebles, OH 45660-8014",Robert Lieb,9375873260,,,Robert P Lieb,,9375873260,150 Kingfisher Rd,"Peebles, OH 45660-8014",,,,
1636 Main St,,8,F,Cincinnati,OH,45202-6558,,,,,,,,,,4.3,,,,,,,Wallick Communities,160 W Main St Suite # 200,"New Albany, OH 43054-9292",Tom Feusse,6148634640,,,North Rhine Ii,,,7778 E Kemper Rd,"Cincinnati, OH 45249    ",,,,
2 E Mcmicken Ave,,17,C,Cincinnati,OH,45202,,,,,,,,,,4.3,1900,,,,,,Stacey A Borowicz,191 W Nationwide Blvd Suite # 300,"Columbus, OH 43215",Stacy Borowicz,6148540179,,,Morgan Apartments Llc,,6303862856,114 W 14th St,"Cincinnati, OH 45202",,,,
37 E McMicken Ave,,6,C,Cincinnati,OH,45202-6571,,,,,,,,,,4.3,,,,,,,Lighthouse Worship Center,37 E McMicken Ave,"Cincinnati, OH 45250",Patrick Winkler,8593564706,,,Lighthouse Worship Center,,8593564706,37 E McMicken Ave,"Cincinnati, OH 45250",,,,
41 E McMicken Ave,,6,C,Cincinnati,OH,45202-8519,880.00,,,,,,,,,4.3,,,1,1,2,,"The Model Group, Inc.",1826 Race St Suite # 100,"Cincinnati, OH 45202-7720",,5135590048,Brickstone Properties,5134216999,North Rhine Heights Limited Partnership,,,2170 Gilbert Ave,"Cincinnati, OH 45206",,,,
45-47 E McMicken Ave,,6,C,Cincinnati,OH,45202-6573,,,,,,,,,,3.3,,,,,,,Over The Rhine Community Housing,114 W 14th St,"Cincinnati, OH 45202",,5133811171,Over The Rhine Community Housing,5133811171,Over The Rhine Community Housing,,5133811171,114 W 14th St,"Cincinnati, OH 45202",,,,
54 E McMicken Ave,,10,C,Cincinnati,OH,45202,,,,,,,,,,9.2,1870,,7,3,,,Khawk Llc,4529 River Thames Way,"Mason, OH 45040-7253",Sharmini Shanker,6144571772,,,Khawk Llc,,6144571772,4529 River Thames Way,"Mason, OH 45040-7253",,,,
56 E McMicken Ave,,7,C,Cincinnati,OH,45202-6587,929.00,,,,,,,,,,1879,,2,5,,,Jeremiah Moore,131 McMicken Ave,"Cincinnati, OH 45202",Jeremiah Moore,5133075679,,,Northcrown 56 Mcmicken Llc,,,131 E McMicken Ave,"Cincinnati, OH 45202-6520",,,,
68 E McMicken Ave,,6,C,Cincinnati,OH,45202,,,762,,,,,,,4.3,1874,,1,,3,,MOHAMMAD BAYYARI,731 Bocce Ct,"Palm Beach Gardens, FL 33410",MOHAMMAD BAYYARI,9737628983,,,Moey Mcmicken Properties Llc,,,2907 Maisel Dr,"Cincinnati, OH 45220-2705",622,535,,802
70 E McMicken Ave,,29,C,Cincinnati,OH,45202-8517,,,,,,,,,,4.3,1900,,,,,,"The Model Group, Inc.",1826 Race St Suite # 100,"Cincinnati, OH 45202-7720",,5135590048,Brickstone Properties,5134216999,Wesley Estates Limited Pa,,,2171 Gilbert Ave,"Cincinnati, OH 45206",,,,
116 E McMicken Ave,,8,C,Cincinnati,OH,45202,,,519,,,,,,,4.3,1860,,6,2,,,116 E Memicken Llc,131 E McMicken Ave,"Cincinnati, OH 45202-6520",,,,,116 E Memicken Llc,,,131 E McMicken Ave,"Cincinnati, OH 45202-6520",476,,641,
167 E McMicken Ave,,6,C,Cincinnati,OH,45202-6547,758.00,,,,,,,,,2.9,,,2,1,1,1,"The Model Group, Inc.",1826 Race St Suite # 100,"Cincinnati, OH 45202-7720",,5135590048,Brickstone Properties,5134216999,Pendleton East,,,2170 Gilbert Ave,"Cincinnati, OH 45206-3042",,,,
13-15 W McMicken Ave,,6,B,Cincinnati,OH,45202-7757,,,,,,,,,,4.3,,,,,,,Commons On Main,1826 Race St,"Cincinnati, OH 45202-7720",Melissa Clayton,5136516457,,,Commons On Main,,5136516457,1826 Race St,"Cincinnati, OH 45202-7720",,,,
17-19 W McMicken Ave,,6,C,Cincinnati,OH,45202-7754,,,,,,,,,,4.3,,,,,,,Jill Marie Scherff,1780 Timber Ln,"Burlington, KY 41005",Jill Scherff,5132656088,,,Otr City Living Llc,,,255 E 5th St,"Cincinnati, OH 45202-4710",,,,
36 W McMicken Ave,,7,B,Cincinnati,OH,45202,,,,,,,,,,4.3,1830,,7,,,,Walter Reinhaus,24 W McMicken Ave,"Cincinnati, OH 45202-7718",Walter Reinhaus,5132413855,Walter Reinhaus,5132413855,Walter Reinhaus,Walter Reinhaus,5132413855,24 W McMicken Ave,"Cincinnati, OH 45202-7718",,,,
621 E Mehring Way,One Lytle Place,267,B,Cincinnati,OH,45202,"1,059.00",1.59,"1,685",,,,,,,4.1,1980,,135,131,,,"Barrett & Stokely, Inc.",3755 E 82nd St,"Indianapolis, IN 46240-7335",,3178454171,B&S - One Lytle Place Leasing Office,5136213117,Lytle Capital Partners LLC,,,3755 E 82nd St Suite # 300,"Indianapolis, IN 46240-7335","1,394","1,078","1,983",
27 Mercer St,,7,F,Cincinnati,OH,45202-7107,,,,,,,,,,4.3,,,,,,,Cincinnati Center City Development Corp,1203 Walnut St,"Cincinnati, OH 45202-7153",Tyler Zurick,5136214400,,,Otr Holdings Inc,,,1014 Vine St,"Cincinnati, OH 45202-1119",,,,
532-534 Milton St,,6,C,Cincinnati,OH,45202-6830,,,,,,,,,,4.3,,,,,,,Eber Dev,255 E 5th St,"Cincinnati, OH 45202-4704",,,,,Eber Dev,,,255 E 5th St,"Cincinnati, OH 45202-4704",,,,
554 Milton St,,10,C,Cincinnati,OH,45202-6829,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,
918 Monastery St,,22,C,Cincinnati,OH,45202,795.00,1.78,"1,413",,,,,,,6.0,,,6,10,,,Paradrome Properties,1433 E McMillan St Suite # 1,"Cincinnati, OH 45206-2281",,5138611000,Paradrome Properties,5138611000,Trilogy Properties Llc,,,1433 E McMillan St,"Cincinnati, OH 45206-2281","1,498",917,"1,652",
1510 Moore St,,6,F,Cincinnati,OH,45202-6426,,,,,,,,,,4.3,,,,,,,Martine R. Dunn,6519 Neville Ct,"Mason, OH 45040",Martine Dunn,5134593098,,,Diehard Realty Inc,,,8675 Remington Rd,"Cincinnati, OH 45242",,,,
18 Mulberry St,,11,C,Cincinnati,OH,45202-8923,,,,,,,,,,4.3,1870,,,,,,Laurence Eva,1186 Fox Hound Ct,"Vacaville, CA 95687",,,,,Laurence Eva,,,1186 Fox Hound Ct,"Vacaville, CA 95687",,,,
78-82 Mulberry St,,9,C,Cincinnati,OH,45202-8969,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,
145 Mulberry St,,8,C,Cincinnati,OH,45202-8966,,,,,,,,,,4.3,,,,,,,Joseph H Feldhaus,3643 Davenant Ave,"Cincinnati, OH 45201",Joseph Feldhaus,5133152262,,,North Rhine Limited Partnershi,,,36 E 4th St,"Cincinnati, OH 45202-2757",,,,
225 Orchard St,,7,B,Cincinnati,OH,45202-7631,,,,,,,,,,4.3,1865,,,7,,,City Center Properties,1431 Main St,"Cincinnati, OH 45202-6339",Chris Frutkin,5132211222,,,,,,,,,,,
389 Oregon St,Oregon Mews,7,C,Cincinnati,OH,45202,"1,000.00",1.51,"1,509",,,,,,,12.7,,,4,3,,,Paradrome Properties,1433 E McMillan St Suite # 1,"Cincinnati, OH 45206-2281",,5138611000,Paradrome Properties,5138611000,Trilogy Properties Llc,,,1433 E McMillan St,"Cincinnati, OH 45206-2281","1,219",,"1,880",
965 Paradrome St,,16,C,Cincinnati,OH,45202,,,,,,,,,,4.3,,,,,,,Dinsmore,255 E 5th St Suite # 1900,"Cincinnati, OH 45202-4700",,5139778200,,,Abr Ltd,,,1055 Saint Paul Pl,"Cincinnati, OH 45202-6042",,,,
975-983 Parkside Pl,Parkside Place,40,C,Cincinnati,OH,45202,450.00,1.31,591,,,,,,,,1963,,20,,,,Cincinnati Properties,2324 Madison Rd Suite # 2,"Cincinnati, OH 45208-2671",,5132215050,Cincinnati - Parkside Place,5132215050,,,,,,718,460,,
1001-1003 Parkside Pl,Parkside,7,C,Cincinnati,OH,45202,750.00,1.28,956,,,,,,,12.9,1850,,4,3,,,1001 Parkside Llc,1001 Parkside Pl,"Cincinnati, OH 45202-6004",,,Grandin - Parkside,5138717110,1001 Parkside Llc,,,1001 Parkside Pl,"Cincinnati, OH 45202-6004",845,,"1,093",
79 Peete St,,8,C,Cincinnati,OH,45202-8913,,,,,,,,,,4.3,1881,,8,,,,Edina P Rokvic,4224 Richardson Rd,"Independence, KY 41051",Edina Rokvic,8596559300,,,ROKBIC LLC,,,,,,,,
1324 Pendleton St,,6,F,Cincinnati,OH,45202-7458,,,,,,,,,,4.3,,,,,,,Frederick Louis Kundrata III,3706 Woodside Dr,"Traverse City, MI 49684",Frederick Kundrata,5134178466,,,,,,,,,,,
1325 Pendleton St,,14,C,Cincinnati,OH,45202,757.00,0.80,605,,,,,,,,1888,,4,4,,,Historic Limited Liability Company,2575 Queen City Ave,"Cincinnati, OH 45238    ",Alfred Berger,5136628804,Historic Limited Liability Company,5136628804,Historic Limited Liability Company,,5136628804,2575 Queen City Ave,"Cincinnati, OH 45238    ",634,473,769,
1526-1528 Pleasant St,,48,C,Cincinnati,OH,45202-6997,,,,,,,,,,3.3,1900,,,,,,"The Model Group, Inc.",1826 Race St Suite # 100,"Cincinnati, OH 45202-7720",,5135590048,Brickstone Properties,5134216999,Magnolia Heights Limited Partn,,,2170 Gilbert Ave,"Cincinnati, OH 45206-3042",,,,
1533 Pleasant St,,6,C,Cincinnati,OH,45202,,,,,,,,,,4.3,,,,,,,Richard D Herndon,6771 Kenwood Rd,"Cincinnati, OH 45201",,5137920442,,,Otr Housing Group Llc,,,3441 Observatory Pl,"Cincinnati, OH 45208-2563",,,,
1606-1608 Pleasant St,,12,C,Cincinnati,OH,45202,,,,,,,,,,4.3,1875,,12,,,,3CDC,1203 Walnut St Suite # 4 Floor,"Cincinnati, OH 45202-7153",,5136214400,,,Otr Holdings Inc,,6144427637,1203 Walnut St Suite # 4,"Cincinnati, OH 45202-7153",,,,
1701 Pleasant St,,6,C,Cincinnati,OH,45202-6413,,,,,,,,,,4.3,,,,,,,Jennifer Grace Lemasters,1718 Pleasant St,"Cincinnati, OH 45201",Jennifer Lemasters,5137038553,,,Urban Studio Llc,,,2200 Victory Pky,"Cincinnati, OH 45206-2837",,,,
700-704 Race St,Groton Lofts,48,C,Cincinnati,OH,45202-4305,984.00,1.37,"1,352",,,,,,,2.1,,,21,20,,,City Of Cincinnati,801 Plum St,"Cincinnati, OH 45202    ",,5133523250,Towne - Groton Lofts,5136511661,Cincinnati City Of,,,801 Plum St,"Cincinnati, OH 45202","1,275",947,"1,567",
817-819 Race St,,15,C,Cincinnati,OH,45202-2005,,,,,,,,,,4.3,1925,,15,,,,WMC Group LLC,411 Oak St Suite # 3rd fl,"Cincinnati, OH 45219    ",,5135698376,Symphony Property Management,5135698376,WMC Group LLC,,,411 Oak St,"Cincinnati, OH 45219    ",,,,
1214 Race St,,12,C,Cincinnati,OH,45202-7109,,,,,,,,,,4.3,,,,,,,1214 Race Llc,14 W 15th St,"Cincinnati, OH 45202-7006",,,,,1214 Race Llc,,,14 W 15th St,"Cincinnati, OH 45202-7006",,,,
1320 Race St,,8,C,Cincinnati,OH,45202-7111,,,,,,,,,,4.3,,,,,,,1320 Race Street Llc,1320 Race St,"Cincinnati, OH 45202",Shein Mei Li,5137518039,,,1320 Race Street Llc,,5137518039,1320 Race St,"Cincinnati, OH 45202",,,,
1418 Race St,,6,C,Cincinnati,OH,45202-7050,,,,,,,,,,4.3,,,,,,,Cincinnati Center City Development Corp,1203 Walnut St,"Cincinnati, OH 45202-7153",Tyler Zurick,5136214400,,,Otr Holdings Inc,,,1014 Vine St,"Cincinnati, OH 45202-1119",,,,
1421-1423 Race St,,9,C,Cincinnati,OH,45202-7051,,,,,,,,,,4.3,,,,,,,Martha Dorff,121 W 14th St,"Cincinnati, OH 45202",Martha Dorff,5137214000,,,Urbanis Llc,,,124 14th,"Cincinnati, OH 45202",,,,
1438 Race St,,6,C,Cincinnati,OH,45202-7091,,,,,,,,,,4.3,,,,,,,Cincinnati Center City Development Corp,1203 Walnut St,"Cincinnati, OH 45202-7153",Tyler Zurick,5136214400,,,Otr Holdings Inc,,,1014 Vine St,"Cincinnati, OH 45202-1119",,,,
1510 Race St,,9,C,Cincinnati,OH,45202-7046,,,,,,,,,,4.3,,,,,,,Cincinnati Center City Development Corp,1203 Walnut St,"Cincinnati, OH 45202-7153",Tyler Zurick,5136214400,,,Otr Holdings Inc,,,1014 Vine St,"Cincinnati, OH 45202    ",,,,
1527 Race St,,6,C,Cincinnati,OH,45202-7047,,,,,,,,,,4.3,,,,,,,Cincinnati Center City Development Corp,1203 Walnut St,"Cincinnati, OH 45202-7153",Tyler Zurick,5136214400,,,15th & Race Llc,,5136214400,1410 Race St,"Cincinnati, OH 45202-7010",,,,
1529 Race St,,6,C,Cincinnati,OH,45202-7011,,,,,,,,,,4.3,,,,,,,Cincinnati Center City Development Corp,1203 Walnut St,"Cincinnati, OH 45202-7153",Tyler Zurick,5136214400,,,15th & Race Llc,,5136214400,1410 Race St,"Cincinnati, OH 45202-7010",,,,
1533-1535 Race St,,6,C,Cincinnati,OH,45202-7048,,,,,,,,,,4.3,,,,,,,Cincinnati Center City Development Corp,1203 Walnut St,"Cincinnati, OH 45202-7153",Tyler Zurick,5136214400,,,15th & Race Llc,,,1410 Race St,"Cincinnati, OH 45202-7010",,,,
1616 Race St,,10,C,Cincinnati,OH,45202-5920,,,,,,,,,,4.3,,,,,,,Ayana Lovette Sloan,7209 Brookcrest Dr,"Cincinnati, OH 45237",Ayana Sloan,5138510869,,,Race Republic & Green Llc,,,1616 Race St,"Cincinnati, OH 45202",,,,
1620 Race St,,7,C,Cincinnati,OH,45202-6416,,,,,,,,,,4.3,,,,,,,Ayana Lovette Sloan,7209 Brookcrest Dr,"Cincinnati, OH 45237",Ayana Sloan,5138510869,,,Race Republic,,,1115 Pendleton St,"Cincinnati, OH 45202",,,,
1705 Race St,,6,C,Cincinnati,OH,45202,"1,133.00",0.48,541,,,,,,,1.4,1875,,,2,4,,KMK Service Corp,One E Fourth St,"Cincinnati, OH 45202    ",Brian Muething,5135796400,,,Elm Street Acquisition Llc,,,,,,,651,485
1708 Race St,,8,C,Cincinnati,OH,45202-6466,,,,,,,,,,4.3,,,,,,,Cincinnati Metropolitan Housing Authority,1627 Western Ave,"Cincinnati, OH 45214-2001",,5137214580,,,Cincinnati Metropolitan Housing Authority,,,16 Central Pky,"Cincinnati, OH 45202    ",,,,
1900-1902 Race St,,13,C,Cincinnati,OH,45202-7734,,,,,,,,,,4.3,,,,,,,Frederick J. Caspar,10 SW Courthouse Plz,"Dayton, OH 45402    ",Frederick Caspar,9374492818,,,Northside Revitalization Llc,,,2170 Gilbert Ave,"Cincinnati, OH 45206-3042",,,,
1936-1942 Race St,,17,C,Cincinnati,OH,45202-7779,,,,,,,,,,4.3,1870,,,14,3,,Port of Greater Cincinnati Development Authority,3 E Fourth St Suite # 300,"Cincinnati, OH 45202-3728",Laura Brunner,5136213000,,,Port of Greater Cincinnati Development Authority,,5136213000,3 E 4th St Suite # 600,"Cincinnati, OH 45202    ",,,,
610 Reading Rd,Pendleton Apartments,15,C,Cincinnati,OH,45202-1409,,,,,,,,,,3.3,,,15,,,,Pendleton Housing Partners Lp,,,,,,,Pendleton Housing Partners Lp,,,,,,,,
